n,m,lb,ub,training,jobs,LPT,RL,time,once,five times,bound,fixed bound ,Error from LPT,Error RL from bound,Error LPT from bound ,Mean error from LPT,Error RL from bound,Error LPT from bound 
9,3,1,20,4000,"{1,9,10,10,12,13,15,15,20}",37,36,26.08839536,0.5,6,20,28,2.702702703,22.22222222,24.32432432,,,
9,3,1,20,4000,"{2,2,3,6,10,18,18,19,20}",36,36,22.11114883,0.598802395,15.86826347,11,36,0,0,0,,,
9,3,1,20,4000,"{2,4,5,6,6,8,9,14,20}",25,25,17.34316516,0.680272109,7.482993197,11,20,0,20,20,,,
9,3,1,20,4000,"{5,11,12,13,16,19,19,20,20}",47,46,22.452914,0,8.797653959,25,38,2.127659574,17.39130435,19.14893617,,,
9,3,1,20,4000,"{4,7,8,9,10,13,15,15,20}",35,34,34.92546391,0,10.52631579,17,28,2.857142857,17.64705882,20,,,
9,3,1,20,4000,"{1,2,5,5,7,12,16,17,20}",29,29,19.22932267,0,8,10,28,0,3.448275862,3.448275862,,,
9,3,1,20,4000,"{1,2,5,5,6,8,13,14,15}",25,23,18.24004889,0,8.780487805,10,21,8,8.695652174,16,,,
9,3,1,20,4000,"{2,4,6,10,14,16,17,17,17}",35,35,8.742139339,0,0,16,33,0,5.714285714,5.714285714,,,
9,3,1,20,4000,"{6,8,11,13,14,19,19,20,20}",44,44,25.4106288,0,13.9941691,24,38,0,13.63636364,13.63636364,,,
9,3,1,20,4000,"{1,2,4,7,7,8,13,13,19}",26,26,23.87330294,0,8.108108108,11,21,0,19.23076923,19.23076923,,,
9,3,1,20,4000,"{2,8,9,12,13,17,19,20,20}",41,41,22.31333876,1.176470588,14.11764706,21,36,0,12.19512195,12.19512195,,,
9,3,1,20,4000,"{1,2,5,8,8,16,17,18,19}",33,33,18.88849187,0,8.243727599,13,33,0,0,0,,,
9,3,1,20,4000,"{1,2,4,8,8,9,10,15,20}",27,26,17.78899717,0,4.12371134,12,20,3.703703704,23.07692308,25.92592593,,,
9,3,1,20,4000,"{6,11,11,14,15,18,18,18,19}",44,44,28.62660146,0,8.583690987,25,36,0,18.18181818,18.18181818,,,
